,trades,Total return,Average Gain,Average Loss,勝率,Average gain and profit,average holding period
FAST,10,35.2,10.39,-3.6,0.5,3.3945083299393355,117.3
FRT,6,-4.07,7.5,-4.5,0.3333333333333333,-0.5000000000000004,138.0
FDX,5,65.45,41.7,-6.0,0.4,13.081880560551083,233.4
FIS,4,75.91,100.71,-4.27,0.25,21.97463802438805,9.0
FITB,12,1.83,18.5,-4.88,0.25,0.966327668044114,127.0
FRC,13,-0.99,11.51,-3.21,0.23076923076923078,0.18343810441861041,96.41666666666667
FE,4,36.93,14.04,-6.0,0.75,9.032958393489874,241.5
FISV,7,69.31,39.78,-1.55,0.2857142857142857,10.261517981406014,67.25
FLT,6,24.98,64.52,-5.31,0.16666666666666666,6.330457865761858,46.0
FLIR,12,-2.81,22.01,-6.43,0.25,0.6780393009040093,80.6
FLS,12,-28.86,5.0,-4.25,0.16666666666666666,-2.708060687529152,32.18181818181818
FMC,13,29.99,18.99,-4.04,0.3076923076923077,3.0468140235145067,85.66666666666667
F,12,-15.42,4.82,-5.56,0.4166666666666667,-1.235202748556607,48.55555555555556
FTNT,13,53.15,24.39,-3.52,0.3076923076923077,5.063450489370491,78.22222222222223
FTV,6,31.11,12.33,-1.95,0.5,5.189878692438662,294.0
FBHS,8,75.31,11.36,-3.0,0.75,7.767903370204473,134.0
FOXA,5,-17.27,0.0,-3.67,0.0,-3.674601134112776,17.0
FOX,5,-22.54,0.0,-4.95,0.0,-4.947742526115403,23.75
BEN,10,-19.12,11.69,-5.25,0.2,-1.861525305682758,49.3
FCX,19,47.63,11.74,-3.87,0.42105263157894735,2.70193630702528,24.071428571428573
GPS,15,-15.12,5.11,-3.98,0.3333333333333333,-0.9537574399719246,30.25
GRMN,6,87.39,28.72,-2.0,0.5,13.36129364353459,209.33333333333334
IT,11,-5.45,7.37,-4.72,0.36363636363636365,-0.3198735183400534,78.57142857142857
GD,6,-2.32,17.61,-3.6,0.16666666666666666,-0.06506877525283761,198.0
GE,10,17.75,15.61,-3.43,0.3,2.2829481457088305,64.88888888888889
GIS,8,5.38,8.36,-3.6,0.375,0.8844889646300489,125.875
GM,11,12.73,7.7,-4.03,0.45454545454545453,1.3026139362179676,80.44444444444444
GPC,11,-16.15,5.0,-5.14,0.36363636363636365,-1.4545454545454557,63.63636363636363
GILD,11,-23.67,6.67,-5.62,0.2727272727272727,-2.26702105394186,34.72727272727273
GPN,7,107.65,14.76,-6.0,0.8571428571428571,11.794619817478974,119.33333333333333
GL,7,24.0,7.71,-2.51,0.5714285714285714,3.329897429572657,238.83333333333334
GS,7,60.39,22.68,-3.0,0.42857142857142855,8.004579247831662,163.85714285714286
GWW,10,39.13,13.32,-4.8,0.5,4.261085842039387,101.4
HRB,13,-29.59,7.5,-4.36,0.15384615384615385,-2.53846153846154,39.76923076923077
HAL,10,12.99,7.88,-4.96,0.5,1.461374090508608,45.125
HBI,4,-2.9,5.0,-2.54,0.25,-0.6555049228853751,78.5
HIG,6,27.64,8.0,-3.0,0.6666666666666666,4.332083846661013,236.8
HAS,9,36.19,6.41,-2.0,0.6666666666666666,3.604189140303695,85.66666666666667
HCA,11,53.18,13.05,-2.64,0.45454545454545453,4.4883341234399206,94.88888888888889
PEAK,7,11.86,20.73,-4.8,0.2857142857142857,2.493099230845492,125.57142857142857
HSIC,12,-7.0,5.0,-2.35,0.25,-0.5112890396715966,76.77777777777777
HES,12,-1.26,6.47,-4.5,0.4166666666666667,0.07299521597787884,37.72727272727273
HPE,15,-2.8,8.66,-4.2,0.3333333333333333,0.0877141252190401,40.8
HLT,8,14.21,26.76,-5.07,0.25,2.8857159139338906,21.2
HFC,8,140.66,43.86,-1.2,0.375,15.698585720811574,77.375
HOLX,13,-19.42,9.13,-3.43,0.15384615384615385,-1.4995377305644533,64.625
HD,10,26.13,15.44,-2.57,0.3,2.8300129074072844,157.77777777777777
HON,5,50.31,18.17,-3.38,0.6,9.54881783524804,402.5
HRL,6,33.79,12.74,-2.0,0.5,5.371919312806177,190.33333333333334
HST,11,-19.09,5.0,-3.33,0.18181818181818182,-1.8181818181818183,43.27272727272727
HWM,10,35.23,10.91,-3.66,0.5,3.623943982256346,66.14285714285714
HPQ,15,12.83,9.87,-4.67,0.4,1.147897793731269,58.2
HUM,11,2.9,32.15,-5.39,0.18181818181818182,1.435305764588045,109.8
HBAN,9,11.3,23.7,-4.29,0.2222222222222222,1.9344432365211652,125.44444444444444
HII,9,6.59,9.11,-5.51,0.4444444444444444,0.9841851205163961,124.375
IEX,11,18.05,13.23,-4.32,0.36363636363636365,2.0649699598848836,131.2
IDXX,7,311.64,82.35,-4.54,0.42857142857142855,32.69719083682323,248.16666666666666
INFO,5,106.86,23.7,-0.5,0.8,18.862539317139625,490.6666666666667
ITW,10,28.34,7.68,-4.5,0.6,2.807007661759296,123.4
ILMN,14,-12.45,9.07,-5.75,0.35714285714285715,-0.4585764577780429,70.28571428571429
INCY,14,-22.51,8.8,-4.47,0.21428571428571427,-1.6236965682897895,27.0
IR,5,34.43,8.13,-1.42,0.8,6.221520702465297,314.0
INTC,10,24.98,10.14,-4.8,0.5,2.6711224365740485,82.6
ICE,8,23.43,27.78,-4.0,0.25,3.944941369406849,191.875
IBM,12,-26.18,5.0,-3.88,0.16666666666666666,-2.3983518979607847,60.0
IFF,10,-26.59,10.0,-4.3,0.1,-2.8680232323998105,83.125
IP,12,-2.56,7.73,-2.67,0.25,-0.06697604201339113,48.833333333333336
IPG,11,-1.34,13.24,-4.5,0.2727272727272727,0.338140607305891,72.72727272727273
INTU,10,43.31,7.28,-4.18,0.7,3.8459447480633355,143.0
ISRG,11,73.27,37.48,-3.59,0.2727272727272727,7.614716320594008,128.8
IVZ,8,56.33,88.21,-2.57,0.125,8.776846502243103,72.0
IPGP,10,66.44,32.21,-3.12,0.3,7.481087934638939,32.25
IQV,9,43.33,15.02,-6.53,0.5555555555555556,5.438733796697909,43.666666666666664
IRM,10,2.38,9.51,-3.43,0.3,0.45196813008840087,93.9
JBHT,10,5.52,6.24,-4.8,0.5,0.7189636270632804,95.3
JKHY,9,50.44,17.34,-3.6,0.4444444444444444,5.705274865007699,154.0
J,12,37.55,6.57,-2.4,0.5833333333333334,2.8300918188327335,66.33333333333333
SJM,12,-28.64,8.25,-4.8,0.16666666666666666,-2.6250585950812173,60.083333333333336
JNJ,10,10.51,7.26,-4.83,0.5,1.212390748750333,129.77777777777777
JCI,4,69.7,19.97,0.0,0.75,14.976841650853489,311.5
JPM,7,82.17,28.3,-3.0,0.42857142857142855,10.416367546672776,197.85714285714286
JNPR,12,-21.18,5.0,-5.25,0.3333333333333333,-1.833333333333336,46.583333333333336
KSU,8,26.94,6.26,-6.0,0.75,3.195713810691745,145.6
K,9,-15.23,7.5,-4.29,0.2222222222222222,-1.6666666666666667,103.88888888888889
KEY,10,7.35,17.13,-5.17,0.3,1.5231129924455962,110.77777777777777
KEYS,10,100.48,83.83,-5.37,0.2,12.468295919495446,222.8
KMB,9,4.15,7.5,-4.8,0.4444444444444444,0.6666666666666674,110.11111111111111
KIM,9,39.14,8.36,-1.5,0.5555555555555556,3.9751915832435785,72.66666666666667
